feature,psi,psi_status,ks_statistic,ks_p_value,ks_drift
var_26,0.0002135364597457924,stable,0.0041999999999999815,0.663548911218899,False
var_160,0.00021156646373304329,stable,0.0024166666666666226,0.9946018878312528,False
var_99,0.00021102035101697235,stable,0.0040583333333333305,0.7047609836025016,False
var_124,0.00020774347546857297,stable,0.0054833333333332845,0.32662378766343014,False
var_136,0.00020724925443775624,stable,0.004916666666666625,0.46145021068965886,False
var_172,0.00020627303983300794,stable,0.007016666666666671,0.10375764847086588,False
var_30,0.0002056575709787076,stable,0.006441666666666679,0.16506447439613436,False
var_105,0.00020551938043847988,stable,0.0037916666666666377,0.7799983088805394,False
var_153,0.0002040832023867351,stable,0.005916666666666681,0.2434050251648976,False
var_123,0.00020037341180869291,stable,0.0030166666666666675,0.9469304572933495,False
var_108,0.00019791467645615513,stable,0.0023333333333332984,0.9966375300050675,False
var_39,0.00019725991976378497,stable,0.003975000000000062,0.7287195957185211,False
var_179,0.00019388379431549275,stable,0.003433333333333344,0.8700163983937625,False
var_65,0.00019355019964204014,stable,0.0050916666666667165,0.4168213567091229,False
var_61,0.00018912419250316886,stable,0.002658333333333429,0.9834723123991248,False
var_162,0.00018893479631625304,stable,0.003724999999999992,0.797952982679548,False
var_166,0.0001888143015909713,stable,0.005958333333333399,0.2363151089564285,False
var_132,0.00018544092969908469,stable,0.003249999999999975,0.9082098023587508,False
var_199,0.00018365893677101667,stable,0.005500000000000005,0.32309883895615543,False
var_92,0.00018309925836016656,stable,0.004458333333333342,0.5883509675355112,False
var_63,0.00018233502635554838,stable,0.004108333333333325,0.6902648931722326,False
var_102,0.00017965731242265765,stable,0.004566666666666663,0.5573266807987458,False
var_178,0.0001777170252086696,stable,0.003941666666666677,0.7382102487435767,False
var_129,0.00017635152983677267,stable,0.0038833333333333497,0.7546580393287035,False
var_14,0.00017598606643484723,stable,0.004649999999999932,0.5338239699106604,False
var_170,0.00017474697364471746,stable,0.0029416666666666758,0.9568508641876934,False
var_35,0.00017468608024731074,stable,0.00307500000000005,0.9383552641109687,False
var_70,0.00017173251691157004,stable,0.004258333333333364,0.6465076898176454,False
var_114,0.00016800042577067473,stable,0.0025499999999999967,0.9895688067007689,False
var_27,0.00016769997861925458,stable,0.0028166666666666895,0.9706493472030098,False
var_157,0.00016768094349640402,stable,0.004699999999999982,0.5199029011096427,False
var_165,0.00016472188523583575,stable,0.004783333333333334,0.49704067161371757,False
var_20,0.00016345021365220968,stable,0.004191666666666705,0.6659822105347548,False
var_50,0.0001627691555422695,stable,0.003875000000000073,0.7569889883416101,False
var_142,0.00016162457470977274,stable,0.004716666666666647,0.5152953849953468,False
var_138,0.00015851695477229281,stable,0.00417500000000004,0.6708469138736581,False
var_187,0.0001577574092560193,stable,0.0058833333333333515,0.24919006322123727,False
var_34,0.00015660309935824467,stable,0.004174999999999998,0.6708469138736703,False
var_133,0.00015525458638072733,stable,0.0026333333333333486,0.9850585279330015,False
var_164,0.00015331689015824206,stable,0.005491666666666645,0.32485806151765617,False
var_36,0.0001532919879640003,stable,0.0027250000000000885,0.978675682390168,False
